科幻,#genre#
2012/2009,https://cdn7.yzzy-online.com/20220802/9787_c46a0def/index.m3u8
Alien/1979,https://cdn2.yzzy-online.com/20220502/17819_e4885ea6/index.m3u8
Aliens/1986,https://m3u.haiwaikan.com/xm3u8/245532966edc3db2c3ea3e98151c4bf57805146d6651b77ba9640a03b591cc7f9921f11e97d0da21.m3u8
Edge Of Tomorrow/2014,https://m3u.haiwaikan.com/xm3u8/a653fe8be5d474d66f7308c58525bceb49c439e059a964744cfea0d00c8fba4b9921f11e97d0da21.m3u8
Interstellar/2014,https://m3u.haiwaikan.com/xm3u8/ced7303cf4cd66aa52b740279893b4015ee4c4605eb7884d3ea6bce8e624a22b9921f11e97d0da21.m3u8
Meteor/1979,https://vip.kuaikan-cdn3.com/20230331/O2rANh5n/index.m3u8
Predator/1987,https://vip.ffzy-play7.com/20230219/15235_17aab53d/index.m3u8?sign=c7d0c17c187227e4e0bb5e79168a07b0
Terminator 2/1991,https://vip.ffzy-play7.com/20230219/15391_e0dd8424/index.m3u8?sign=95deb6917f06d044871c8fb8ed73f25c
Time Machine/2002,https://vip1.lz-cdn7.com/20230128/13848_eb8f3dad/index.m3u8
WorldWarZ/2013,https://vip.ffzy-play7.com/20230219/15222_3a7feacc/index.m3u8?sign=1d2a0a816899caa1cd95f8baacb22bf2
