新村之后,#genre#
S1E1 文冬 Buntong,https://www.youtube.com/watch?v=R4ap9JxTgag
S1E2 丹绒士拔 Tanjung Sepat,https://www.youtube.com/watch?v=uB5SylJJEo8
S1E3 双溪比力 Sungai Pelek,https://www.youtube.com/watch?v=jZZDcdsn3dU
S1E4 务边/拉湾古打 Gopeng/Lawan Kuda,https://www.youtube.com/watch?v=uTWHdySQM4w
S1E5 拉美士/彼咯 Bekok/Labis,https://www.youtube.com/watch?v=07DqiVyuchw
S1E6 知知港 Titi,https://www.youtube.com/watch?v=RN-VoxuHRFg
S1E7 龙引 Rengit,https://www.youtube.com/watch?v=lorZ-AAF9Ic
S1E8 武拉必/大山脚 Bukit Mertajam/Berapit,https://www.youtube.com/watch?v=pl1Nnsff8U8
S1E9 莪伦/巴东伦武 Gurun/Padang Lembu,https://www.youtube.com/watch?v=VUPx2L43sKM
S1E10 玉射 Grisek,https://www.youtube.com/watch?v=zg5lX5eIxYo
S1E11 直凉 Triang,https://www.youtube.com/watch?v=t684UM3bESk
S1E12 锡米山 Sungai Chua,https://www.youtube.com/watch?v=_NLb8C4GBTg
S1E13 煤炭山 Batu Arang,https://www.youtube.com/watch?v=zsHSpaEGgCw

YC,#genre#
有你就幸福,https://www.youtube.com/watch?v=tbYXGzKh6bw
Lemon Tree,https://youtube.com/watch?v=zwCE61sdUl0
